2019-12-10	-1000.00
2020-01-03	-1000.00
2020-02-03	-1000.00
2020-03-02	-1000.00
2020-04-01	-1000.00
2020-05-06	-1000.00
2020-06-01	-1000.00
2020-07-01	-1000.00
2020-07-06	9076.96
2020-08-03	-1000.00
2020-09-01	-1000.00
2020-10-09	-1000.00
2020-11-02	-1000.00
2020-12-01	-1000.00
2021-01-04	-1000.00
2021-02-01	-1000.00
2021-03-01	-1000.00
2021-03-15	8662.84
2021-04-01	-1000.00
2021-05-06	-1000.00
2021-06-01	-1000.00
2021-07-01	-1000.00
2021-08-02	-1000.00
2021-09-01	-1000.00
2021-09-07	6481.94
2021-10-08	-1000.00
2021-11-01	-1000.00
2021-12-01	-1000.00
2022-01-04	-1000.00
2022-02-07	-1000.00
2022-03-01	-1000.00
2022-04-01	-1000.00
2022-04-06	7604.81
2022-05-05	-1000.00
2022-06-01	-1000.00
2022-07-01	-1000.00
2022-08-01	-1000.00
2022-09-01	-1000.00
2022-10-10	-1000.00
2022-11-01	-1000.00
2022-12-01	-1000.00
2023-01-03	-1000.00
2023-02-01	-1000.00
2023-02-21	10853.01
2023-03-01	-1000.00
2023-04-03	-1000.00
2023-05-04	2174.17
2023-05-04	-1000.00
2023-06-01	-1000.00
2023-07-03	-1000.00
2023-08-01	-1000.00
2023-09-01	-1000.00
2023-10-09	-1000.00
2023-11-01	-1000.00
2023-12-01	-1000.00
2024-01-02	-1000.00
2024-02-01	-1000.00
2024-03-01	-1000.00
2024-04-01	-1000.00
2024-05-06	-1000.00
2024-06-03	-1000.00
2024-07-01	-1000.00
2024-08-01	-1000.00
2024-09-02	-1000.00
2024-09-30	18951.34
2024-10-08	-1000.00
2024-11-01	-1000.00
2024-12-02	-1000.00
2025-01-02	-1000.00
2025-02-05	-1000.00
2025-03-03	-1000.00
2025-04-01	-1000.00
2025-05-06	-1000.00
2025-06-03	-1000.00
2025-07-01	-1000.00
2025-08-01	-1000.00
2025-09-01	-1000.00
2025-10-09	-1000.00
2025-11-03	-1000.00
2025-11-10	15194.81
2025-12-01	-1000.00
2026-01-05	-1000.00
2026-02-02	-1000.00
2026-03-02	-1000.00
2026-04-01	-1000.00
2026-05-06	-1000.00
2026-06-01	-1000.00
2026-07-01	-1000.00
2026-07-07	7538.56
